District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
Agar Malwa,Madhya Pradesh,0,0,0,0,0,0,,
Alirajpur,Madhya Pradesh,0,0,0,0,0,0,,
Anuppur,Madhya Pradesh,0,0,0,0,0,0,,
Ashoknagar,Madhya Pradesh,0,0,0,0,0,0,,
Balaghat,Madhya Pradesh,0,0,0,0,0,0,,
Barwani,Madhya Pradesh,14,0,0,14,0,0,,
Betul,Madhya Pradesh,1,0,0,1,0,0,,
Bhind,Madhya Pradesh,0,0,0,0,0,0,,
Bhopal,Madhya Pradesh,116,0,1,115,0,0,,
Burhanpur,Madhya Pradesh,0,0,0,0,0,0,,
Chhatarpur,Madhya Pradesh,0,0,0,0,0,0,,
Chhindwara,Madhya Pradesh,2,0,1,1,0,0,,
Damoh,Madhya Pradesh,0,0,0,0,0,0,,
Datia,Madhya Pradesh,0,0,0,0,0,0,,
Dewas,Madhya Pradesh,3,0,1,2,0,0,,
Dhar,Madhya Pradesh,1,0,0,1,0,0,,
Dindori,Madhya Pradesh,0,0,0,0,0,0,,
Khandwa,Madhya Pradesh,5,0,0,5,0,0,,
Guna,Madhya Pradesh,0,0,0,0,0,0,,
Gwalior,Madhya Pradesh,6,0,0,6,0,0,,
Harda,Madhya Pradesh,0,0,0,0,0,0,,
Hoshangabad,Madhya Pradesh,6,0,0,6,0,0,,
Indore,Madhya Pradesh,235,0,15,220,0,0,,
Jabalpur,Madhya Pradesh,9,3,0,6,0,0,,
Jhabua,Madhya Pradesh,0,0,0,0,0,0,,
Katni,Madhya Pradesh,0,0,0,0,0,0,,
Mandla,Madhya Pradesh,0,0,0,0,0,0,,
Mandsaur,Madhya Pradesh,0,0,0,0,0,0,,
Morena,Madhya Pradesh,13,0,0,13,0,0,,
Narsimhapur,Madhya Pradesh,0,0,0,0,0,0,,
Neemuch,Madhya Pradesh,0,0,0,0,0,0,,
Niwari,Madhya Pradesh,0,0,0,0,0,0,,
Panna,Madhya Pradesh,0,0,0,0,0,0,,
Raisen,Madhya Pradesh,1,0,0,1,0,0,,
Rajgarh,Madhya Pradesh,0,0,0,0,0,0,,
Ratlam,Madhya Pradesh,0,0,0,0,0,0,,
Rewa,Madhya Pradesh,0,0,0,0,0,0,,
Sagar,Madhya Pradesh,1,0,0,1,0,0,,
Satna,Madhya Pradesh,0,0,0,0,0,0,,
Sehore,Madhya Pradesh,0,0,0,0,0,0,,
Seoni,Madhya Pradesh,0,0,0,0,0,0,,
Shahdol,Madhya Pradesh,0,0,0,0,0,0,,
Shajapur,Madhya Pradesh,1,0,0,1,0,0,,
Sheopur,Madhya Pradesh,1,0,0,1,0,0,,
Shivpuri,Madhya Pradesh,2,0,0,2,0,0,,
Sidhi,Madhya Pradesh,0,0,0,0,0,0,,
Singrauli,Madhya Pradesh,0,0,0,0,0,0,,
Tikamgarh,Madhya Pradesh,0,0,0,0,0,0,,
Ujjain,Madhya Pradesh,15,0,2,13,0,0,,
Umaria,Madhya Pradesh,0,0,0,0,0,0,,
Vidisha,Madhya Pradesh,4,0,0,4,0,0,,
Khargone,Madhya Pradesh,14,0,0,14,0,0,,
